path,Fld Applictn,Abstract,File,Title,Start Date,Expected Total Amt.,Prgm Manager,Expires,Investigator,NSF Org,Sponsor,Type,Program Ref,Award Instr.,Award Number,NSF Program,Latest Amendment Date
dbfs:/data-mining/nsf-abstract/original/awd_1992_09/a9209719.txt,0000099 Other Applications NEC  42 Geological Sciences,"This research will be supported by field, geologic and scientific  advice from Dr. G. V. Nesterenko of the Vernadsky Institute of  Geochemistry in Moscow, who has already provided approximately 50  samples of Siberian Flood Basalt Province (SFBP) which are fresh,  and well-controlled in terms of their volcano-stratigraphic  positions. The plan of this initial study is to characterize the  overall temporal and spatial variations in the SFBP by analyzing  the rest of the samples for Sm-Nd, Rb-Sr, and U-Th-Pb systematics.  Some of these samples are also selected for grain-picking to do a  laser-heating 40Ar/39Ar age determinations, to be done at the  Institute for Human Origins. The proposed research on the SFBP  will provide new information through which to study and interpret  the origin of other flood basalt provinces.",a9209719,"Collaborative Research: Petrogenesis, Age and Duration of the Siberian Flood Basalts","April 15, 1992",$36300 (Estimated),John L. Snyder  EAR DIVISION OF EARTH SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"September 30, 1994 (Estimated)",Paul R. Renne (Principal Investigator current),EAR,"Inst of Human Origins 2453 Ridge Road Berkeley, CA 947091211 415/845-0333",Award,"",Standard Grant,9209719,1573 PETROLOGY AND GEOCHEMISTRY,"March 16, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_01/a9201841.txt,0205000 Space  41 Atmospheric Sciences,This MISETA proposal will measure the zonal drift of kilometer  scale irregularities and all sky airglow surface brightnesses in  addition to upgrading the Fabry Perot interferometer. The PIs also  plan to compare MISETA observations and predicitons from the  current NCAR-TIGCM model. The project will focus on the  modification of the Fabry Perot to enable mesospheric dynamics  studies through the doppler measurements of mesospheric airglow  emissions in addition to the 630 nm measurements.,a9201841,"CEDAR: Multi-instrumented Studies of Equatorial Thermosphere Aeronomy (MISETA): Fabry Perot Measurements at Arequipa, Peru","August 15, 1992",$190750 (Estimated),Robert M. Robinson  ATM DIVISION OF ATMOSPHERIC SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"January 31, 1995 (Estimated)",John W. Meriwether john.meriwether@ces.clemson.edu (Principal Investigator current),ATM,"Clemson University Box 345702 Clemson, SC 296345702 864/656-2424",Award,"1323,1577,GLCH,",Continuing grant,9201841,4202 UPPER ATMOSPHERIC FACILITIES,"April 5, 1995"
dbfs:/data-mining/nsf-abstract/original/awd_1992_09/a9209103.txt,0306000 Energy Research & Resources  21 Mathematics  55 Engineering-Electrical,"Description: This project provides for collaboration by an  Indian scientist, Dr. P.K. Dash of the Department of Electrical  Engineering, Regional Engineering College (REC), Rourkela, and a  U.S. scientist, Dr. Saifur Rahman of the Department of Electrical  Engineering at Virginia Polytechnic Institute (VPI) in  Blacksburg. The scientists plan to study the complex  relationships between the time and intensity of an electric  utility's peak load, and the potential for cost reduction  strategies by the utilities and consumers. The study also seeks  to develop means for two-way exchange of information to be used  for decisions such as production scheduling and load control.  The development of solutions will combine the capabilities of  both expert systems approach and statistical techniques.   Scope: This collaboration will build on existing research being  done by Dr. Rahman under an NSF/ECS grant. This collaboration  will benefit both sides by combining the abilities of the Indian  group to collect data from unique conditions in India and the  advanced modelling and computational techniques at VPI. The  project meets the objectives of the U.S.-India Program.",a9209103,"An Expert System-Based Integrated Energy Management System, Award in Indian Currency","April 1, 1992",$1989000 (Estimated),"Marjorie Lueck  INT Office of Internatl Science &Engineering SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","March 31, 1996 (Estimated)",P K. Dash (Principal Investigator current),INT,Regional Engineering Col,Award,"5951,",Standard Grant,9209103,6124 INDIA (SCIENTIFIC RESEARCH),"September 8, 1995"
dbfs:/data-mining/nsf-abstract/original/awd_1992_09/a9209244.txt,0000099 Other Applications NEC  61 Life Science Biological,"Neuropeptides are signals that are released by nerve cells to  transmit information to other nerve cells and to other cells in the  body, like muscle, glands and skin. Very often within a single  neuron, neuropeptides are released along with specific  neurotransmitters and modulate their subsequent action. Indeed,  the nervous system is designed to received and transmit information  and neuropeptides are central to those basic processes. While it  is estimated that 100's of neuropeptides are made by nerve cells,  only 1% of all nerve cells express a given neuropeptide gene. Dr.  Taghert will use an innovative molecular genetic approach to  examine the fundamental mechanisms underlying the expression and  release of neuropeptides. He will create and recover  loss-of-function mutations in a specific gene for a precursor  protein that encodes 13 related neuropeptides. By studying  individuals that are chronically deficient in the production of  these molecules, Dr. Taghert will determine function and whether  other neuropeptides share overlapping roles. In addition, he has  developed methodology to put genes back and thus, will assess the  specific capacity of subsets of encoded neuropeptides to restore  lost functions. These experiments will lead to a better  understanding of the roles played by the neuropeptide gene in  individual neurons. Since Drosophila is used as the model system,  demonstrating the lethal nature of mutations in the neuropeptide  encoding gene may help stimulate research into insecticides that  act by inhibiting neuropeptide synthesis or neuropeptide stimulated  neurotransmission.",a9209244,Molecular Genetic Analysis of Neuropeptide Function,"September 1, 1992",$258112 (Estimated),IBN DIV OF INTEGRATIVE BIOLOGY AND NEUROSCIE BIO DIRECT FOR BIOLOGICAL SCIENCES,"February 29, 1996 (Estimated)",Paul H. Taghert (Principal Investigator current),IBN,Washington University,Award,"",Standard Grant,9209244,1193 NEUROENDOCRINOLOGY,"April 7, 1995"
dbfs:/data-mining/nsf-abstract/original/awd_1992_09/a9209943.txt,0000099 Other Applications NEC  82 Economics,"This project has two objectives. One is to develop a theoretical  understanding of a generic environmental problem of which global  warming and acid deposition are two examples. That problem is  the optimal tradeoff between acting to control environmental  externalities versus delaying control when faced with uncertainty  coupled with learning. The second objective is to apply one or  more of these theoretical models to the global warming problem,  addressing the policy question of the extent to which the U.S.  and other countries should control greenhouse gas emissions now  versus waiting until more is known about the problem before  controlling. This is one of the key issues in the public policy  debate on global warming and, thus, results of this project may  be very significant. The two driving features of the models  developed will be learning that occurs over time reducing  uncertainty and the stock feature of externalities such as global  warming, whereby the stock causes damage but only the flow can be  controlled. The approach of the theoretical part of the project  is to develop a stochastic optimal control problem and to  investigate the comparative static properties of the resulting  model. The empirical portion of the project will numerically  implement one of the theoretical models to the extent necessary  to develop policy conclusions. This will involve adapting an  empirical model developed elsewhere, perhaps the Nordhaus model,  rather than developing a totally new one.",a9209943,The Timing of Control of Stock Externalities in the Presence of Learning with an Application to Global Warming,"August 15, 1992",$77376 (Estimated),"Daniel H. Newlon  SES DIVN OF SOCIAL AND ECONOMIC SCIENCES  SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","July 31, 1995 (Estimated)",Charles D. Kolstad (Principal Investigator current),SES,"U of Ill Urbana-Champaign 801 South Wright Street Champaign, IL 61820 217/333-2186",Award,"9278,",Continuing grant,9209943,1320 ECONOMICS,"July 27, 1993"
dbfs:/data-mining/nsf-abstract/original/awd_1992_03/a9203092.txt,0000099 Other Applications NEC  61 Life Science Biological,"Long & Medium-Term Research: Cell-Cycle Regulation of the Jun  Proteins   This award is under the Long and Medium-Term Research at  Foreign Centers of Excellence Program, which enables U.S.  scientists and engineers to conduct three to twelve months of  research abroad at research centers of proven excellence. The  program's awards provide opportunities for joint research, and the  use of unique or complementary facilities, expertise and  experimental conditions abroad.   This award will support a twelve-month postdoctoral research visit  by Dr. Curt M. Pfarr to work with Dr. Moshe Yaniv of the  Department of Biotechnology, Pasteur Institute, Paris, France.   While the Jun Proteins are thought to function by binding to DNA  and interacting with other nuclear factors, the molecular details of  these interactions are still poorly understood. In addition, how the  amount of each Jun varies under different growth conditions and  where Jun is compartmentalized within the cell is presently  unknown. Dr. Pfarr will use three experimental approaches to  address these questions using cultured cells as a model. They are  1) localization of Jun proteins; 2) Inducible overexpression of Jun;  and 3) affinity-probe analysis of cell extracts. By this concerted set  of experiments he hopes to reveal novel aspects of Jun function and  further clarify the complex control pathways of cell proliferation.   The award recommendation provides funds to cover international  travel, a stipend for twelve months and a dependents' allowance.",a9203092,Long and Medium-Term Research: Cell-Cycle Regulation of theJun Proteins,"May 15, 1992",$36000 (Estimated),"Susan Parris  INT Office of Internatl Science &Engineering SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","October 31, 1993 (Estimated)",Curt M. Pfarr (Principal Investigator current),INT,Individual Award,Award,"1114,",Standard Grant,9203092,5956 INTL RESEARCH FELLOWS PROGRAM,"May 27, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_08/a9208877.txt,0000099 Other Applications NEC  99 Other Sciences NEC,Support services for research information processing and dissemination.,a9208877,Support Services for Research Information Processing and Dissemination,"January 15, 1992",$1495211 (Estimated),"Kenneth M. Brown  SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","February 28, 1995 (Estimated)",Marlene B. Schwartz (Principal Investigator current),SBE,"Capital Systems Group Inc 1355 Piccard Drive Rockville, MD 208504315 301/948-3033",Award,"0000,5370,5951,9145,9150,OTHR,",Contract,9208877,9199 UNDISTRIBUTED PANEL/IPA FUNDS,"September 26, 1996"
dbfs:/data-mining/nsf-abstract/original/awd_1992_03/a9203746.txt,0106000 Materials Research  54 Engineering-Civil,"It is suggested that undrained steady state (or residual)  strength, and associated (critical) confining pressure can be  assessed in a straightforward manner from drained triaxial tests  with volume change measurements based on a proposed effective  stress interpretation of such undrained behavior. If the  envisioned procedure can be verified as part of this study, it  should be possible for all geotechnical firms with the standard  laboratory capability to perform drained triaxial tests on sands  (with associated volume change measurements) to accurately assess  the residual strength of such liquefying material, which  otherwise require sophisticated equipment beyond the capability  of the great majority of geotechnical firms.",a9203746,Liquefaction and Residual Strength of Loose Sands from Drained Triaxial Tests,"July 1, 1992",$17584 (Estimated),MEHMET T. TUMAY  CMS DIV OF CIVIL AND MECHANICAL SYSTEMS  ENG DIRECTORATE FOR ENGINEERING,"December 31, 1993 (Estimated)",Gary M. Norris norris@ce.unr.edu (Principal Investigator current),CMS,U of Nevada Reno,Award,"9237,",Standard Grant,9203746,1634 GEOMECHANICS & GEOTECHNIC SYST,"July 14, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_07/a9207878.txt,0201000 Agriculture  0208000 Water Resources  0313000 Regional & Environmental  0314000 Rural Development  45 Ecology  81 Anthropology,"The proposed study integrates archaeological and  paleoecological research to examine the mechanisms through which  the pre-Hispanic Andean state of Tiwanaku generated extensive  land-use changes that altered local ecosystems in such a way that  renewable resource production, particularly agriculture and  possibly fisheries, was sustained for nearly a millennium. Five  research objectives converge on the issue of changing human  environment interactions in the study area adjacent to Lake  Titicaca: 1. to describe lake-level variation during the past  5000 years, the major period of human occupation; 2. to analyze  Holocene climate variation in the altiplano both by using lake-  level variation as input to water- and energy-budget  (climatinomy) models, and by using stratigraphic variations of  stable oxygen and carbon isotopes to measure the region's  hydrological balance; 3. to reconstruct the spatial and temporal  dynamics of raised-field agriculture in the study area by  topographic mapping, systematic test excavations and ground  penetrating radar; 4. to model agricultural space-time  systematics in the context of explicit hypotheses regarding  hydrological and climatic control of raised fields with  Geographic Information Systems (GIS) techniques; and 5. to  determine changes of erosion and deposition processes and soil  nutrient loss coincident with distinct types of farming  practices. The results of this research may hold broad  implications for understanding the ecological and organizational  bases of resource sustainability in harsh environments. This  long-term view of different nutrient-retaining capacities of at  least two different kinds of agricultural practices, raised  fields (which are found throughout the tropics in inundated  areas) and traditional dry-farmed fields may be useful in  agronomy and agroecology. Finally, studies of global climate  change may benefit form a finer-scaled picture of the past  several thousand years in the Lake Titicaca basin, as well as  from the attempt to separate, in the paleoecological record,  effects of human activities from natural climatic variation.",a9207878,"Collaborative Research: Human-Environment Interactions in the Bolivian Altiplano: Climate, Limnology and Tiwanaku Agroecosystems","September 15, 1992",$145372 (Estimated),Scott Collins  DEB DIVISION OF ENVIRONMENTAL BIOLOGY  BIO DIRECT FOR BIOLOGICAL SCIENCES,"February 28, 1995 (Estimated)",Michael W. Binford (Principal Investigator current),DEB,"Harvard University 1350 Massachusetts Ave. Cambridge, MA 021383826 617/495-1000",Award,"1577,9278,",Standard Grant,9207878,1182 ECOLOGY,"September 8, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_06/a9206962.txt,0000099 Other Applications NEC  42 Geological Sciences,"Recent discoveries of gold and platinum group (PGE) mineralization  in Eocene layered gabbros of East Greenland demonstrate that  physical and chemical processes associated with the transition from  continental to oceanic rifting can concentrate precious metals in  the Earth's crust. One of these gabbros, the Kap Edvard Holm  Complex, exhibits an unusual combination of features related to  stratiform precious metal mineralization. An understanding of  these processes requires detailed field, petrologic, isotopic, and  chemical analyses, combined with theoretical analysis of the  thermodynamic and transport characteristics of magma-hydrothermal  systems. The long-term plans for this research program inviove  using these techniques to provide new insights into the nature of  processes controlling: 1) precious metal concentration during  gabbro crystallization; and 2) precious metal transport and  deposition in gabbro-hosted hydrothermal systems. A specific  objective of the research will be evaluation of various hypotheses  that may explain the unusually high ratio of precious metal to  sulfide that is characteristic of this deposit. Investigation of  the processes responsible for mineralization in the East Greenland  gabbros is potentially of great importance to understanding the  global distribution of precious metals and to formulating future  mineral exploration strategies. The present award will enable him  to get started while he is formulating a plan to achieve the  long-term goals.",a9206962,"Transport, Concentration, and Deposition of Precious Metals in Layered Gabbros During Continental Rifting","July 1, 1992",$48100 (Estimated),John L. Snyder  EAR DIVISION OF EARTH SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"June 30, 1993 (Estimated)",Dennis K. Bird bird@pangea.stanford.edu (Principal Investigator current),EAR,"Stanford University 651 Serra Street Stanford, CA 94305 650/723-2300",Award,"",Standard Grant,9206962,1573 PETROLOGY AND GEOCHEMISTRY,"June 10, 1992"
